Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Colanic Acid Building Blocks Biosynthesis	5.61E-01	7.14E-02	NaN	GPI	
Serotonin Receptor Signaling	5.6E-01	2.76E-02	1.387	CACNG2,CREB5,CXCL8,EDN1,FFAR2,FGA,FGB,GNA15,H3C3,ORAI3,PLB1,PLCL1,PRKAR1B	
IL-13 Signaling Pathway	5.52E-01	3.39E-02	0.000	ARG1,SOCS1,SOCS3,STAT1	
Interleukin-2 family signaling	5.52E-01	4.35E-02	NaN	INPP5F,STAT1	
tRNA Splicing	5.52E-01	4.35E-02	NaN	PDE7B,PDE9A	
Colorectal Cancer Metastasis Signaling	5.5E-01	2.93E-02	0.816	BIRC5,CCND1,GNA15,LEF1,MMP8,PRKAR1B,STAT1,TCF7	
Synthesis of DNA	5.45E-01	3.36E-02	2.000	CCNA2,GINS2,PSMB9,PSME2	
Fcgamma receptor (FCGR) dependent phagocytosis	5.44E-01	3.18E-02	2.236	ARPC1B,FCGR1A,FCGR2A,FCGR3A/FCGR3B,WASF1	
iNOS Signaling	5.39E-01	4.26E-02	NaN	IRF1,STAT1	
nNOS Signaling in Neurons	5.39E-01	4.26E-02	NaN	DLG4,GRIN3A	
Apelin Pancreas Signaling Pathway	5.39E-01	4.26E-02	NaN	APLNR,PRKAR1B	
eNOS Signaling	5.38E-01	3.16E-02	NaN	AQP9,CCNA2,HSPA1A/HSPA1B,HSPA6,PRKAR1B	
Epithelial Adherens Junction Signaling	5.38E-01	3.16E-02	2.236	ARPC1B,LEF1,LIMK2,TCF7,WASF1	
Regulation of the Epithelial-Mesenchymal Transition Pathway	5.36E-01	3.05E-02	NaN	FGFRL1,HMGA2,LEF1,PSENEN,TCF7,ZEB1	
Mismatch Repair	5.35E-01	6.67E-02	NaN	EXO1	
Platelet Adhesion to exposed collagen	5.35E-01	6.67E-02	NaN	FCER1G	
Insulin Secretion Signaling Pathway	5.35E-01	2.9E-02	1.134	CACNG2,CREB5,GNA15,PLCL1,PRKAR1B,SLC2A1,SLC2A5,STAT1	
Superpathway of Inositol Phosphate Compounds	5.32E-01	2.95E-02	0.000	ALPL,CDC25A,INPP5F,MINPP1,NOCT,PLPP6,SOCS3	
Apelin Muscle Signaling Pathway	5.26E-01	4.17E-02	NaN	APLNR,GNA15	
IL-23 Signaling Pathway	5.26E-01	4.17E-02	NaN	IL23A,SOCS3	
Activation of NMDA receptors and postsynaptic events	5.26E-01	3.57E-02	NaN	CAMK4,DLG4,PRKAR1B	
JAK/STAT Signaling	5.26E-01	3.57E-02	NaN	SOCS1,SOCS3,STAT1	
Pulmonary Healing Signaling Pathway	5.25E-01	3.02E-02	0.000	CCND1,ELANE,FOXM1,LEF1,MMP8,TCF7	
Sphingosine-1-phosphate Signaling	5.22E-01	3.28E-02	0.000	CASP5,PLCL1,S1PR2,SMPD1	
Rap1 signalling	5.12E-01	6.25E-02	NaN	RAP1GAP	
Granzyme B Signaling	5.12E-01	6.25E-02	NaN	LMNB1	
Superpathway of Citrulline Metabolism	5.12E-01	6.25E-02	NaN	ARG1	
D-myo-inositol (1,4,5)-trisphosphate Degradation	5.12E-01	6.25E-02	NaN	INPP5F	
Parkinson's Signaling	5.12E-01	6.25E-02	NaN	UCHL1	
PEDF Signaling	5.08E-01	3.49E-02	NaN	SERPINF1,TCF7,ZEB1	
Gustation Pathway	5.08E-01	2.97E-02	0.816	CACNG2,LPL,P2RY13,P2RY14,P2RY6,PRKAR1B	
Ephrin Receptor Signaling	5.08E-01	2.97E-02	2.236	ARPC1B,CREB5,EPHA1,GNA15,GRIN3A,LIMK2	
Signaling by FGFR1	5.02E-01	4E-02	NaN	FGFRL1,FLRT2	
Regulation of the Epithelial Mesenchymal Transition in Development Pathway	5E-01	3.45E-02	NaN	LEF1,PSENEN,TCF7	
Oxytocin Signaling Pathway	4.97E-01	2.82E-02	0.707	ATP2B1,CACNG2,CREB5,CXCL8,HSPB1,LPL,MYL9,PRKAR1B	
TCR signaling	4.93E-01	3.17E-02	0.000	ENAH,PSMB9,PSME2,TRAC	
Amyloid Processing	4.91E-01	3.92E-02	NaN	PRKAR1B,PSENEN	
Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	4.9E-01	5.88E-02	NaN	IGF2	
1D-myo-inositol Hexakisphosphate Biosynthesis II (Mammalian)	4.9E-01	5.88E-02	NaN	INPP5F	
Dermatan Sulfate Degradation (Metazoa)	4.9E-01	5.88E-02	NaN	FGFRL1	
Neddylation	4.86E-01	2.85E-02	1.134	BIRC5,FBXO6,FBXO7,KBTBD8,PSMB9,PSME2,SOCS3	
Apoptotic execution phase	4.8E-01	3.85E-02	NaN	H1-5,LMNB1	
Melanoma Signaling	4.8E-01	3.85E-02	NaN	CCND1,E2F1	
Estrogen Receptor Signaling	4.78E-01	2.68E-02	1.265	CACNG2,CCND1,CREB5,DLG4,GNA15,IGF2,LIMK2,MMP8,MYL9,PLCL1,PRKAR1B	
Regulation of Cellular Mechanics by Calpain Protease	4.75E-01	3.33E-02	NaN	CCNA2,CCND1,CDK1	
Unfolded protein response	4.75E-01	3.33E-02	NaN	CEBPE,HSPA1A/HSPA1B,HSPA6	
GP6 Signaling Pathway	4.73E-01	3.1E-02	2.000	COL17A1,FCER1G,FGA,FGB	
RORA activates gene expression	4.7E-01	5.56E-02	NaN	SMARCD3	
Nicotinate metabolism	4.7E-01	5.56E-02	NaN	NNMT	
Mismatch Repair in Eukaryotes	4.7E-01	5.56E-02	NaN	EXO1	
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	4.7E-01	5.56E-02	NaN	MVK	
HMGB1 Signaling	4.7E-01	2.96E-02	NaN	CLCF1,CXCL8,IL18,TNFSF10,TNFSF13B	
Signaling by TGF-beta Receptor Complex	4.69E-01	3.77E-02	NaN	BAMBI,LTBP3	
Factors involved in megakaryocyte development and platelet production	4.67E-01	3.3E-02	NaN	IRF1,MYB,PRKAR1B	
Crosstalk between Dendritic Cells and Natural Killer Cells	4.67E-01	3.3E-02	NaN	HLA-A,IL18,TNFSF10	
BMP signaling pathway	4.67E-01	3.3E-02	NaN	CAMK4,GREM1,PRKAR1B	
Ferroptosis Signaling Pathway	4.6E-01	3.05E-02	-1.000	H2AX,H2BC17,HSPB1,SLC39A8	
Metabolism of cofactors	4.51E-01	5.26E-02	NaN	DHFR	
γ-linolenate Biosynthesis II (Animals)	4.51E-01	5.26E-02	NaN	CYB5R3	
Ceramide Signaling	4.51E-01	3.23E-02	NaN	CTSD,S1PR2,SMPD1	
Acute Myeloid Leukemia Signaling	4.51E-01	3.23E-02	NaN	CCND1,LEF1,TCF7	
HSP90 chaperone cycle for steroid hormone receptors in the presence of ligand	4.49E-01	3.64E-02	NaN	HSPA1A/HSPA1B,NR3C2	
Signaling by PTK6	4.49E-01	3.64E-02	NaN	CCND1,SOCS3	
fMLP Signaling in Neutrophils	4.47E-01	3.01E-02	NaN	ARPC1B,FPR1,GNA15,NCF1	
WNT/β-catenin Signaling	4.42E-01	2.87E-02	NaN	CCND1,CDH5,KREMEN1,LEF1,TCF7	
NLR signaling pathways	4.39E-01	3.57E-02	NaN	AIM2,NLRC4	
Triacylglycerol Biosynthesis	4.39E-01	3.57E-02	NaN	AGPAT1,PLPP6	
Oxidative Ethanol Degradation III	4.39E-01	3.57E-02	NaN	ALDH1A1,CYP2C8	
Netrin Signaling	4.37E-01	2.86E-02	0.447	ARPC1B,CACNG2,DPYSL3,ENAH,PRKAR1B	
P2Y Purigenic Receptor Signaling Pathway	4.35E-01	2.96E-02	1.000	CREB5,P2RY6,PLCL1,PRKAR1B	
STAT3 Pathway	4.35E-01	2.96E-02	NaN	CDC25A,IL7R,SOCS1,SOCS3	
Neurexins and neuroligins	4.29E-01	3.51E-02	NaN	DLG4,LIN7A	
FAT10 Signaling Pathway	4.29E-01	3.51E-02	NaN	PSMB9,PSME2	
Death Receptor Signaling	4.29E-01	3.12E-02	NaN	HSPB1,TNFRSF10A,TNFSF10	
Cellular response to heat stress	4.22E-01	3.09E-02	NaN	HSPA1A/HSPA1B,HSPA6,HSPB1	
Activin Inhibin Signaling Pathway	4.21E-01	2.74E-02	0.000	BAMBI,IL18,LEF1,LIMK2,TCF7,TNFSF13B	
Signaling by PDGF	4.2E-01	3.45E-02	NaN	SPP1,STAT1	
RHO GTPases activate PAKs	4.17E-01	4.76E-02	NaN	MYL9	
Synaptic adhesion-like molecules	4.17E-01	4.76E-02	NaN	DLG4	
Digestion	4.17E-01	4.76E-02	NaN	CHIT1	
Histamine Degradation	4.17E-01	4.76E-02	NaN	ALDH1A1	
Fatty Acid α-oxidation	4.17E-01	4.76E-02	NaN	ALDH1A1	
RHOGDI Signaling	4.17E-01	2.73E-02	-1.342	ARPC1B,CDH5,GNA15,LIMK2,MYL9,WASF1	
Protein folding	4.15E-01	3.06E-02	NaN	FBXO6,GNA15,GNG8	
RAC Signaling	4.11E-01	2.88E-02	NaN	ARPC1B,LIMK2,NCF1,WASF1	
Cardiac β-adrenergic Signaling	4.11E-01	2.78E-02	NaN	CACNG2,GNA15,PDE7B,PDE9A,PRKAR1B	
Metabolism of polyamines	4.1E-01	3.39E-02	NaN	PSMB9,PSME2	
Reelin Signaling in Neurons	4.05E-01	2.86E-02	1.000	ARPC1B,CNR2,GRIN3A,WASF1	
Visual phototransduction	4.02E-01	3.33E-02	NaN	DHRS9,TTR	
NIK-->noncanonical NF-kB signaling	4.02E-01	3.33E-02	NaN	PSMB9,PSME2	
SPINK1 Pancreatic Cancer Pathway	4.02E-01	3.33E-02	NaN	CPA4,ELANE	
Putrescine Degradation III	4.01E-01	4.55E-02	NaN	ALDH1A1	
Melanocyte Development and Pigmentation Signaling	4.01E-01	3E-02	NaN	CREB5,POMC,PRKAR1B	
UVA-Induced MAPK Signaling	4.01E-01	3E-02	NaN	PLCL1,SMPD1,STAT1	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	4E-01	2.84E-02	1.000	CEBPE,CXCL8,IL18,MMP8	
ABC-family proteins mediated transport	3.94E-01	2.97E-02	NaN	ABCD2,PSMB9,PSME2	
Apelin Cardiomyocyte Signaling Pathway	3.94E-01	2.97E-02	NaN	APLNR,MYL9,PLCL1	
MSP-RON Signaling in Cancer Cells Pathway	3.94E-01	2.82E-02	-1.000	CCND1,CREB5,LEF1,TCF7	
Assembly of collagen fibrils and other multimeric structures	3.93E-01	3.28E-02	NaN	CD151,COL17A1	
Circadian Rhythm Signaling	3.9E-01	2.61E-02	NaN	CACNG2,CREB5,GNA15,GRIN3A,H3C3,PLCL1,PRKAR1B	
Beta-catenin independent WNT signaling	3.88E-01	2.94E-02	NaN	GNG8,LEF1,TCF7	
RAF-independent MAPK1/3 activation	3.87E-01	4.35E-02	NaN	CDK1	
Formation of paraxial mesoderm	3.87E-01	4.35E-02	NaN	LEF1	
Apelin Cardiac Fibroblast Signaling Pathway	3.87E-01	4.35E-02	NaN	APLNR	
Cytoprotection by HMOX1	3.84E-01	3.23E-02	NaN	ALB,SMARCD3	
Endometrial Cancer Signaling	3.84E-01	3.23E-02	NaN	CCND1,LEF1	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	3.73E-01	2.61E-02	NaN	ALPL,IL18,LEF1,MMP8,SPP1,TCF7	
Sulfur amino acid metabolism	3.73E-01	4.17E-02	NaN	SQOR	
Other interleukin signaling	3.73E-01	4.17E-02	NaN	PRTN3	
The Visual Cycle	3.73E-01	4.17E-02	NaN	DHRS9	
Melatonin Degradation I	3.68E-01	3.12E-02	NaN	CYP2C8,SULT1A2	
IL-17 Signaling	3.68E-01	2.65E-02	0.447	CLCF1,CXCL8,IL18,TNFSF10,TNFSF13B	
Synaptogenesis Signaling Pathway	3.65E-01	2.52E-02	2.121	ARPC1B,CDH5,CREB5,DLG4,EPHA1,GRIN3A,PRKAR1B,WASF1	
Macroautophagy	3.6E-01	3.08E-02	NaN	MAP1LC3A,RRAGD	
Hedgehog ligand biogenesis	3.6E-01	3.08E-02	NaN	PSMB9,PSME2	
RAB geranylgeranylation	3.6E-01	3.08E-02	NaN	RAB20,RAB39A	
Activation of IRF by Cytosolic Pattern Recognition Receptors	3.6E-01	3.08E-02	NaN	IFIT2,STAT1	
Cholesterol biosynthesis	3.6E-01	4E-02	NaN	PLPP6	
Bupropion Degradation	3.6E-01	4E-02	NaN	CYP2C8	
Ethanol Degradation IV	3.6E-01	4E-02	NaN	ALDH1A1	
WNT/Ca+ pathway	3.53E-01	3.03E-02	NaN	CREB5,PLCL1	
Glutamate Receptor Signaling	3.53E-01	3.03E-02	NaN	DLG4,GRIN3A	
Cellular Effects of Sildenafil (Viagra)	3.52E-01	2.67E-02	NaN	CACNG2,MYL9,PLCL1,PRKAR1B	
PPARα/RXRα Activation	3.46E-01	2.58E-02	NaN	CYP2C8,GNA15,LPL,PLCL1,PRKAR1B	
Regulation of the Epithelial Mesenchymal Transition by Growth Factors Pathway	3.46E-01	2.58E-02	0.447	FGFRL1,HMGA2,TNFSF10,TNFSF13B,ZEB1	
α-Adrenergic Signaling	3.45E-01	2.75E-02	NaN	CAMK4,GNA15,PRKAR1B	
PD-1, PD-L1 cancer immunotherapy pathway	3.45E-01	2.75E-02	NaN	CD274,HLA-A,PDCD1LG2	
Phase II - Conjugation of compounds	3.45E-01	2.99E-02	NaN	GGT7,NNMT	
Semaphorin Neuronal Repulsive Signaling Pathway	3.43E-01	2.63E-02	1.000	DPYSL3,LIMK2,MYL9,PRKAR1B	
Xenobiotic Metabolism PXR Signaling Pathway	3.42E-01	2.56E-02	1.342	ALDH1A1,CYP2C8,GSTM5,PRKAR1B,SULT1A2	
Glucocorticoid Receptor Signaling	3.41E-01	2.4E-02	NaN	CXCL8,FCGR1A,H3C3,HLA-A,HSPA1A/HSPA1B,HSPA6,IL7R,KRT1,MMP8,NR3C2,POMC,SLPI,SMARCD3,STAT1	
Endothelin-1 Signaling	3.38E-01	2.55E-02	0.447	CASP5,EDN1,GNA15,PLB1,PLCL1	
Syndecan interactions	3.35E-01	3.7E-02	NaN	SDC3	
ATF4 activates genes in response to endoplasmic reticulum stress	3.35E-01	3.7E-02	NaN	CXCL8	
Tryptophan Degradation X (Mammalian, via Tryptamine)	3.35E-01	3.7E-02	NaN	ALDH1A1	
Sensory processing of sound by inner hair cells of the cochlea	3.31E-01	2.9E-02	NaN	ATP2B1,KCNMA1	
Myelination Signaling Pathway	3.29E-01	2.44E-02	0.000	CREB5,FGFRL1,LMNB1,MPZ,OLIG1,PRKAR1B,PSENEN,SLC2A1	
Hedgehog 'off' state	3.29E-01	2.68E-02	NaN	PRKAR1B,PSMB9,PSME2	
Necroptosis Signaling Pathway	3.29E-01	2.58E-02	1.000	STAT1,TNFRSF10A,TNFSF10,TSPO	
MTOR signalling	3.24E-01	3.57E-02	NaN	RRAGD	
Signaling by ALK	3.24E-01	3.57E-02	NaN	CD274	
Glyoxylate metabolism and glycine degradation	3.24E-01	3.57E-02	NaN	PXMP2	
RHO GTPases activate PKNs	3.24E-01	3.57E-02	NaN	MYL9	
Glutathione Redox Reactions I	3.24E-01	3.57E-02	NaN	GPX1	
CDP-diacylglycerol Biosynthesis I	3.24E-01	3.57E-02	NaN	AGPAT1	
Relaxin Signaling	3.2E-01	2.55E-02	NaN	GNA15,PDE7B,PDE9A,PRKAR1B	
ISG15 antiviral mechanism	3.17E-01	2.82E-02	NaN	STAT1,UBE2L6	
ILK Signaling	3.13E-01	2.48E-02	0.447	CCND1,CREB5,LEF1,MYL9,TGFB1I1	
Regulation of Actin-based Motility by Rho	3.13E-01	2.61E-02	NaN	ARPC1B,MYL9,WASF1	
Energy dependent regulation of mTOR by LKB1-AMPK	3.13E-01	3.45E-02	NaN	RRAGD	
EGR2 and SOX10-mediated initiation of Schwann cell myelination	3.13E-01	3.45E-02	NaN	MPZ	
Superpathway of Cholesterol Biosynthesis	3.13E-01	3.45E-02	NaN	MVK	
Melatonin Signaling	3.11E-01	2.78E-02	NaN	PLCL1,PRKAR1B	
Basal Cell Carcinoma Signaling	3.11E-01	2.78E-02	NaN	LEF1,TCF7	
GM-CSF Signaling	3.11E-01	2.78E-02	NaN	CCND1,STAT1	
Microautophagy Signaling Pathway	3.07E-01	2.5E-02	NaN	COL17A1,MAP1LC3A,PSMB9,PSME2	
Coronavirus Pathogenesis Pathway	3.06E-01	2.45E-02	-1.342	CCND1,CXCL8,E2F1,E2F8,STAT1	
Mitophagy	3.03E-01	3.33E-02	NaN	MAP1LC3A	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	3.03E-01	3.33E-02	NaN	AGPAT1	
Amyotrophic Lateral Sclerosis Signaling	2.98E-01	2.54E-02	NaN	CACNG2,GPX1,GRIN3A	
Bile acid and bile salt metabolism	2.93E-01	3.23E-02	NaN	ABCB11	
Signaling by CSF1 (M-CSF) in myeloid cells	2.93E-01	3.23E-02	NaN	STAT1	
Cellular response to hypoxia	2.92E-01	2.67E-02	NaN	PSMB9,PSME2	
Caveolar-mediated Endocytosis Signaling	2.92E-01	2.67E-02	NaN	ALB,HLA-A	
Granzyme A Signaling	2.92E-01	2.67E-02	NaN	H1-5,LMNB1	
Fc Epsilon RI Signaling	2.88E-01	2.5E-02	NaN	FCER1A,FCER1G,INPP5F	
G-protein beta:gamma signalling	2.83E-01	3.12E-02	NaN	GNG8	
Role of p14/p19ARF in Tumor Suppression	2.83E-01	3.12E-02	NaN	E2F1	
IL-15 Production	2.75E-01	2.44E-02	NaN	EPHA1,IRF1,STAT1	
Role of WNT/GSK-3β Signaling in the Pathogenesis of Influenza	2.74E-01	2.56E-02	NaN	LEF1,TCF7	
Mitochondrial Dysfunction	2.74E-01	2.31E-02	0.000	CACNG2,COX7A1,CREB5,CYB5R3,GPX1,OPA1,PRKAR1B,PSENEN	
Gap junction trafficking and regulation	2.66E-01	2.94E-02	NaN	CLTCL1	
Oncogene Induced Senescence	2.66E-01	2.94E-02	NaN	E2F1	
Gαs Signaling	2.61E-01	2.38E-02	NaN	CREB5,GNA15,PRKAR1B	
Cardiac Hypertrophy Signaling	2.61E-01	2.29E-02	1.342	CACNG2,GNA15,HSPB1,MYL9,PLCL1,PRKAR1B	
ERK/MAPK Signaling	2.6E-01	2.3E-02	2.236	CREB5,H3C3,HSPB1,PRKAR1B,STAT1	
Chemokine Signaling	2.58E-01	2.47E-02	NaN	CAMK4,LIMK2	
GPVI-mediated activation cascade	2.58E-01	2.86E-02	NaN	FCER1G	
Interleukin-1 family signaling	2.53E-01	2.34E-02	NaN	IL18,PSMB9,PSME2	
Striated Muscle Contraction	2.5E-01	2.78E-02	NaN	TNNT3	
Transcriptional regulation by the AP-2 (TFAP2) family of transcription factors	2.5E-01	2.78E-02	NaN	CITED4	
G Beta Gamma Signaling	2.49E-01	2.33E-02	NaN	CACNG2,GNA15,PRKAR1B	
Transport of bile salts and organic acids, metal ions and amine compounds	2.48E-01	2.41E-02	NaN	RHAG,SLC39A8	
RNA polymerase II transcribes snRNA genes	2.48E-01	2.41E-02	NaN	RNU5A-1,RNU5B-1	
Heparan Sulfate Biosynthesis (Late Stages)	2.48E-01	2.41E-02	NaN	SULT1A2,TNFAIP6	
Cardiac conduction	2.45E-01	2.31E-02	NaN	ATP2B1,CORIN,KCNJ2	
FLT3 Signaling in Hematopoietic Progenitor Cells	2.43E-01	2.38E-02	NaN	CREB5,STAT1	
Estrogen-Dependent Breast Cancer Signaling	2.43E-01	2.38E-02	NaN	CCND1,CREB5	
Role of MAPK Signaling in the Pathogenesis of Influenza	2.43E-01	2.38E-02	NaN	CXCL10,PLB1	
Resolution of Abasic Sites (AP sites)	2.35E-01	2.63E-02	NaN	NTHL1	
Glutathione-mediated Detoxification	2.35E-01	2.63E-02	NaN	GSTM5	
Hedgehog 'on' state	2.33E-01	2.33E-02	NaN	PSMB9,PSME2	
Xenobiotic Metabolism AHR Signaling Pathway	2.29E-01	2.3E-02	NaN	ALDH1A1,GSTM5	
NGF-stimulated transcription	2.28E-01	2.56E-02	NaN	EGR3	
tRNA Charging	2.28E-01	2.56E-02	NaN	WARS1	
Inhibition of Matrix Metalloproteases	2.28E-01	2.56E-02	NaN	MMP8	
TP53 Regulates Metabolic Genes	2.24E-01	2.27E-02	NaN	GPI,RRAGD	
FGF Signaling	2.24E-01	2.27E-02	NaN	CREB5,FGFRL1	
Neurotransmitter release cycle	2.21E-01	2.5E-02	NaN	LIN7A	
Transport of vitamins, nucleosides, and related molecules	2.14E-01	2.44E-02	NaN	SLC28A3	
RET signaling	2.14E-01	2.44E-02	NaN	RAP1GAP	
Mechanisms of Viral Exit from Host Cells	2.14E-01	2.44E-02	NaN	LMNB1	
DAP12 interactions	2.08E-01	2.38E-02	NaN	CLEC5A	
April Mediated Signaling	2.08E-01	2.38E-02	NaN	TNFRSF13B	
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	2.08E-01	2.38E-02	NaN	SULT1A2	
Acetone Degradation I (to Methylglyoxal)	2.08E-01	2.38E-02	NaN	CYP2C8	
Oncostatin M Signaling	2.02E-01	2.33E-02	NaN	STAT1	
TBC/RABGAPs	1.96E-01	2.27E-02	NaN	TBC1D13	
Collagen chain trimerization	1.96E-01	2.27E-02	NaN	COL17A1	
NAD Signaling Pathway	-0E00	1.32E-02	NaN	H1-5,H2BC17	
CSDE1 Signaling Pathway	-0E00	1.79E-02	NaN	PIWIL4	
Oxytocin in Brain Signaling Pathway	-0E00	1.99E-02	0.000	CACNG2,CASP5,CREB5,PLB1	
CLEAR Signaling Pathway	-0E00	1.05E-02	NaN	CREB5,CTSD,RRAGD	
SNARE Signaling Pathway	-0E00	2.21E-02	NaN	MYL9,PRKAR1B,RAB39A	
MicroRNA Biogenesis Signaling Pathway	-0E00	5.29E-03	NaN	PIWIL4	
Neuregulin Signaling	-0E00	8.55E-03	NaN	DLG4	
Axonal Guidance Signaling	-0E00	2.15E-02	NaN	ADAM19,ARPC1B,EPHA1,GNA15,LIMK2,MMP8,MYL9,PLCL1,PRKAR1B,SEMA3G,SEMA7A	
Actin Cytoskeleton Signaling	-0E00	1.63E-02	2.000	ARPC1B,LIMK2,MYL9,WASF1	
Synaptic Long Term Depression	-0E00	2.02E-02	0.000	CACNG2,GNA15,PLB1,PLCL1	
Chaperone Mediated Autophagy Signaling Pathway	-0E00	1.73E-02	-0.302	CCND1,CHEK1,FCER1G,HSPA1A/HSPA1B,HSPA6,IL18,MMP8,PSMB9,PSME2,SNX10,UCHL1	
ABRA Signaling Pathway	-0E00	2.17E-02	NaN	LIMK2,MYL9	
WNK Renal Signaling Pathway	-0E00	1.89E-02	NaN	KCNJ10,NR3C2	
GABAergic Receptor Signaling Pathway (Enhanced)	-0E00	2.16E-02	NaN	CACNG2,GRIN3A,PRKAR1B	
Glutaminergic Receptor Signaling Pathway (Enhanced)	-0E00	2.14E-02	0.378	CACNG2,CAMK4,CREB5,GRIN3A,PLB1,PLCL1,PRKAR1B	
NFKBIE Signaling Pathway	-0E00	1.11E-02	1.342	CXCL8,DYSF,FCER1G,TNFSF10,TNFSF13B	
Orexin Signaling Pathway	-0E00	1.25E-02	NaN	CACNG2,PLCL1,PRKAR1B	
Sertoli Cell-Germ Cell Junction Signaling Pathway (Enhanced)	-0E00	2.1E-02	2.236	ARPC1B,CLDN11,JAM2,MMP8,PRKAR1B	
NRF2-mediated Oxidative Stress Response	-0E00	8.37E-03	NaN	CYP2C8,GSTM5	
Intrinsic Pathway for Apoptosis	-0E00	1.82E-02	NaN	E2F1	
Circadian Clock	-0E00	1.69E-02	NaN	SMARCD3	
Glycerophospholipid biosynthesis	-0E00	2.02E-02	NaN	AGPAT1,OSBPL10	
PI Metabolism	-0E00	1.22E-02	NaN	INPP5F	
Electron transport, ATP synthesis, and heat production by uncoupling proteins	-0E00	1.56E-02	NaN	COQ10A,NDUFAF3	
Collagen biosynthesis and modifying enzymes	-0E00	1.49E-02	NaN	COL17A1	
Cytosolic sensors of pathogen-associated DNA	-0E00	2.17E-02	NaN	AIM2	
p75 NTR receptor-mediated signalling	-0E00	1E-02	NaN	PSENEN	
Metabolism of non-coding RNA	-0E00	1.82E-02	NaN	RNU5B-1	
Generic Transcription Pathway	-0E00	1.64E-02	-2.646	NR3C2,THRB,ZNF112,ZNF14,ZNF2,ZNF799,ZNF860	
RNA Polymerase II Transcription	-0E00	6.71E-03	NaN	DDX39B	
COPII-mediated vesicle transport	-0E00	1.39E-02	NaN	TRAPPC5	
MHC class II antigen presentation	-0E00	1.59E-02	NaN	CTSD,KIF2C	
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer	-0E00	2.04E-02	NaN	STAT1	
Selenoamino acid metabolism	-0E00	9.35E-03	NaN	NNMT	
Fc epsilon receptor (FCERI) signaling	-0E00	1.94E-02	1.000	FCER1A,FCER1G,PSMB9,PSME2	
Class B/2 (Secretin family receptors)	-0E00	1.05E-02	NaN	GNG8	
L1CAM interactions	-0E00	1.6E-02	NaN	CD24,DLG4	
Regulation of lipid metabolism by PPARalpha	-0E00	1.68E-02	NaN	ALAS1,SMARCD3	
G alpha (12/13) signalling events	-0E00	1.25E-02	NaN	GNG8	
G alpha (s) signalling events	-0E00	2.07E-02	NaN	GNG8,PDE7B,POMC	
G alpha (z) signalling events	-0E00	2.08E-02	NaN	GNG8	
Transport of inorganic cations/anions and amino acids/oligopeptides	-0E00	1.92E-02	NaN	SLC26A11,SLC34A2	
Sphingolipid metabolism	-0E00	1.15E-02	NaN	SMPD1	
SUMOylation of DNA replication proteins	-0E00	2.22E-02	NaN	BIRC5	
Interleukin-3, Interleukin-5 and GM-CSF signaling	-0E00	1.82E-02	NaN	INPP5F	
Cilium Assembly	-0E00	9.95E-03	NaN	CDK1,PLK1	
RAF/MAP kinase cascade	-0E00	1.91E-02	2.236	DLG4,FGA,FGB,PSMB9,PSME2	
Major pathway of rRNA processing in the nucleolus and cytosol	-0E00	5.38E-03	NaN	SNORD3A	
TP53 Regulates Transcription of DNA Repair Genes	-0E00	1.43E-02	NaN	CHEK1	
Keratinization	-0E00	1.4E-02	NaN	CSTA,FLG,KRT1	
PTEN Regulation	-0E00	2E-02	NaN	PSMB9,PSME2,RRAGD	
Intra-Golgi and retrograde Golgi-to-ER traffic	-0E00	9.85E-03	NaN	KIF2C,RAB39A	
Processing of Capped Intron-Containing Pre-mRNA	-0E00	6.97E-03	NaN	DDX39B,RNU5B-1	
DNA Damage Bypass	-0E00	2.08E-02	NaN	UBE2L6	
Cargo recognition for clathrin-mediated endocytosis	-0E00	1.87E-02	NaN	CLTCL1,IL7R	
Clathrin-mediated endocytosis	-0E00	1.54E-02	NaN	CLTCL1,IL7R	
RAB GEFs exchange GTP for GDP on RABs	-0E00	2.25E-02	NaN	RAB39A,TRAPPC5	
Carboxyterminal post-translational modifications of tubulin	-0E00	2.22E-02	NaN	TTLL11	
Transcriptional Regulation by MECP2	-0E00	1.59E-02	NaN	CAMK4	
RHO GTPase cycle	-0E00	1.56E-02	1.134	CIT,DDX39B,FILIP1,LMNB1,NCF1,NCF4,WASF1	
NR1H2 and NR1H3-mediated signaling	-0E00	2E-02	NaN	CETP	
Amino acids regulate mTORC1	-0E00	1.82E-02	NaN	RRAGD	
Sensory processing of sound by outer hair cells of the cochlea	-0E00	1.82E-02	NaN	KCNMA1	
Heme signaling	-0E00	2.17E-02	NaN	SMARCD3	
Sensory perception of taste	-0E00	2.13E-02	NaN	KCNJ2	
KEAP1-NFE2L2 pathway	-0E00	2.2E-02	NaN	PSMB9,PSME2	
Kinesins	-0E00	1.64E-02	NaN	KIF2C	
Signaling by the B Cell Receptor (BCR)	-0E00	1.76E-02	NaN	CD79B,PSMB9,PSME2	
